name,description,address,postalcode,city,url,image,category,lat,lon,formatted,confidence,attribution_url
Box rentals,"Al het ondersteunende event-, festival- en filmsetmateriaal dat achter de schermen nodig is",Steenweg op Waarloos 63A19,2840,Rumst,https://www.boxrentals.be/,,feesten,51.1025186820731,4.432348087700982,"Steenweg op Waarloos, 2840 Rumst, België",0.5,https://www.openstreetmap.org/copyright
Levy Party Rental,Specialist in feestverhuur,Handelsweg 1,9820,Merelbeke,https://www.levipartyrental.be/nl,https://www.levipartyrental.be/sites/default/files/2023-12/yellow_levi_part_rental_logo_def_variant_2_cmyk_0.pdf,feesten,50.99369005,3.7638619849774715,"Handelsweg 1, 9820 Merelbeke, België",1,https://www.openstreetmap.org/copyright
De groeispurters,Meegroei-abonnement voor kinderfietsen,Kapelstraat 137,2660,Hoboken,https://degroeispurters.be/,,fietsen,51.173954,4.343494,"XTR-Shop.be, Kapelstraat 137, 2660 Antwerpen, België",1,https://www.openstreetmap.org/copyright
Smmaak,alle keuktoestellen,Brabantdam 158,9000,Gent,https://www.smmaak.be,,koken,51.0494346,3.732864012254689,"Brabantdam 158-158B, 9000 Gent, België",0.9,https://www.openstreetmap.org/copyright
AS Adventure Aalst,Verhuur van outdoor- en reisuitrusting,Nieuwstraat 29-33,9300,Aalst,https://www.asadventure.com/nl/asa/verhuur.html,,reizen,50.9385768,4.0362239,"A.S.Adventure, Nieuwstraat 29-33, 9300 Aalst, België",1,https://www.openstreetmap.org/copyright
AS Adventure Brugge,Verhuur van outdoor- en reisuitrusting,Maalsesteenweg 232,8310,Brugge,https://www.asadventure.com/nl/asa/verhuur.html,,reizen,51.21003965,3.253590753481258,"Maalse Steenweg 232, 8310 Brugge, België",1,https://www.openstreetmap.org/copyright
AS Adventure Brugge,Verhuur van outdoor- en reisuitrusting,Steenstraat 44,8000,Brugge,https://www.asadventure.com/nl/asa/verhuur.html,,reizen,51.20730985,3.2225690952647215,"Den Grooten Sint Jacob, Steenstraat 44, 8000 Brugge, België",1,https://www.openstreetmap.org/copyright
AS Adventure Brussel,Verhuur van outdoor- en reisuitrusting,Avenue de la Toison d'Or 26-28,1050,Brussel,https://www.asadventure.com/nl/asa/verhuur.html,,reizen,50.836971,4.358812,"Gulden-Vlieslaan, Avenue de la Toison d'Or 26-28, 1000 Brussel, België",0.5,https://www.openstreetmap.org/copyright
AS Adventure Antwerpen,Verhuur van outdoor- en reisuitrusting,Oudaan 26,2000,Antwerpen,https://www.asadventure.com/nl/asa/verhuur.html,,reizen,51.215735,4.404243352184224,"Oudaan 26, 2000 Antwerpen, België",1,https://www.openstreetmap.org/copyright
AS Adventure Dendermonde,Verhuur van outdoor- en reisuitrusting,Mechelsesteenweg 7,9200,Dendermonde,https://www.asadventure.com/nl/asa/verhuur.html,,reizen,51.0342469,4.1105736,"JBC, Mechelsesteenweg 7, 9200 Dendermonde, België",1,https://www.openstreetmap.org/copyright
